District,Year,Month,Day,Temperature_C,Relative_humidity_%,Precipitation_mm/hour,Wind_speed_m/s,Weather_condition
Dehradun,2021,1,1,11.19,26.69,0,1.89,Moderate cold
Dehradun,2021,1,2,10.64,45.81,1.44,2.19,Cold and Rainy
Dehradun,2021,1,3,11.93,67.44,2.78,2.9,Cold and Rainy
Dehradun,2021,1,4,12.44,59.75,0.65,2.28,Cold and Rainy
Dehradun,2021,1,5,9.69,78.94,9.12,3.28,Cold and Rainy
Dehradun,2021,1,6,9.87,78.12,12.29,2.02,Cold and Rainy
Dehradun,2021,1,7,10.86,44.94,0,2.06,Moderate cold
Dehradun,2021,1,8,10.86,36.31,0,1.7,Moderate cold
Dehradun,2021,1,9,12.12,44.31,0.02,1.89,Cloudy
Dehradun,2021,1,10,12.95,39,0,1.58,Moderate cold
Dehradun,2021,1,11,12.22,32.75,0,1.72,Moderate cold
Dehradun,2021,1,12,10.6,33.5,0,1.73,Moderate cold
Dehradun,2021,1,13,9.3,36.25,0,1.71,Cold
Dehradun,2021,1,14,10.03,35.5,0,1.71,Moderate cold
Dehradun,2021,1,15,10.8,38.25,0,1.52,Moderate cold
Dehradun,2021,1,16,11.22,32.25,0,2.05,Moderate cold
Dehradun,2021,1,17,11.28,29.75,0,1.96,Moderate cold
Dehradun,2021,1,18,11.15,37.38,0,1.91,Moderate cold
Dehradun,2021,1,19,11.62,43.5,0,2.09,Cloudy
Dehradun,2021,1,20,9.59,36.12,0,3.15,Moderate cold
Dehradun,2021,1,21,9.42,33.44,0,2.78,Moderate cold
Dehradun,2021,1,22,10.77,32.44,0,1.66,Moderate cold
Dehradun,2021,1,23,10.24,40.5,0.45,2.07,Cloudy
Dehradun,2021,1,24,8.42,53.75,0.15,2.26,Cloudy
Dehradun,2021,1,25,8.37,43,0,2.09,Cold
Dehradun,2021,1,26,8.76,33.88,0,1.84,Cold
Dehradun,2021,1,27,9.21,28.94,0,2.11,Cold
Dehradun,2021,1,28,8.55,30.88,0,1.93,Cold
Dehradun,2021,1,29,7.87,32.56,0,2.23,Extreme cold
Dehradun,2021,1,30,7.98,33.94,0,2.26,Extreme cold
Dehradun,2021,1,31,8.8,36.12,0,2.13,Cold
Dehradun,2021,2,1,10.44,35.62,0,2.87,Moderate cold
Dehradun,2021,2,2,10.5,33.31,0,2.48,Moderate cold
Dehradun,2021,2,3,10.33,43.5,1.36,2.3,Cold and Rainy
Dehradun,2021,2,4,7.56,70.56,20.58,2.29,Heavy rain
Dehradun,2021,2,5,5.96,72.75,1.64,1.94,Cold and Rainy
Dehradun,2021,2,6,7.19,51.19,0,2.6,Extreme cold
Dehradun,2021,2,7,10.42,39.38,0,2.02,Moderate cold
Dehradun,2021,2,8,12.21,36.75,0,2.16,Moderate cold
Dehradun,2021,2,9,12.8,39.31,0,2.12,Moderate cold
Dehradun,2021,2,10,12.1,43.44,0,1.95,Moderate cold
Dehradun,2021,2,11,13.08,39.69,0,2.2,Moderate cold
Dehradun,2021,2,12,12.92,41,0,2.35,Moderate cold
Dehradun,2021,2,13,13.05,44.56,0,1.78,Moderate cold
Dehradun,2021,2,14,12.23,50.19,0,2.13,Moderate cold
Dehradun,2021,2,15,12.53,40.94,0,2.45,Moderate cold
Dehradun,2021,2,16,12.63,39.12,0.13,2.2,Cloudy
Dehradun,2021,2,17,12.23,39.75,0,2.2,Moderate cold
Dehradun,2021,2,18,12.69,43.19,0,2.4,Moderate cold
Dehradun,2021,2,19,12.15,47.88,0,2.62,Moderate cold
Dehradun,2021,2,20,13.05,49.38,0,2.44,Moderate cold
Dehradun,2021,2,21,13.76,46.44,0,2.44,Moderate cold
Dehradun,2021,2,22,15.86,39.44,0,2.59,Moderate cold
Dehradun,2021,2,23,16.3,38.62,0.01,2.81,Cloudy
Dehradun,2021,2,24,15.9,37.38,0,3.2,Moderate cold
Dehradun,2021,2,25,15.73,37.12,0,3.55,Moderate cold
Dehradun,2021,2,26,16.68,36.88,0.4,3.23,Cloudy
Dehradun,2021,2,27,16,54.06,5.16,2.51,Cold and Rainy
Dehradun,2021,2,28,14.51,42.06,0,2.24,Moderate cold
Dehradun,2021,3,1,13.54,32.75,0,2.64,Moderate cold
Dehradun,2021,3,2,14.83,30.81,0,3.09,Moderate cold
Dehradun,2021,3,3,16.13,30.06,0,3.2,Moderate cold
Dehradun,2021,3,4,15.65,29.94,0,3.11,Moderate cold
Dehradun,2021,3,5,14.99,32.06,0,4.27,Moderate cold
Dehradun,2021,3,6,16.5,30.38,0,3.03,Moderate cold
Dehradun,2021,3,7,15.75,47.38,1.01,2.61,Cold and Rainy
Dehradun,2021,3,8,14.88,57.69,4.97,3.97,Cold and Rainy
Dehradun,2021,3,9,16.68,42.44,0,2.53,Moderate cold
Dehradun,2021,3,10,16.8,43.06,0.22,2.62,Cloudy
Dehradun,2021,3,11,17.03,42.25,0,2.53,Moderate cold
Dehradun,2021,3,12,15.47,44.88,0.81,1.9,Cold and Rainy
Dehradun,2021,3,13,17.37,42.19,0,2.67,Moderate cold
Dehradun,2021,3,14,17.33,35.81,0,2.54,Moderate cold
Dehradun,2021,3,15,17.34,34.25,0,2.69,Moderate cold
Dehradun,2021,3,16,17.78,35.44,0,3.08,Moderate cold
Dehradun,2021,3,17,18.25,34.62,0,3.32,Moderate cold
Dehradun,2021,3,18,17.73,34.19,0,2.94,Moderate cold
Dehradun,2021,3,19,18.25,31.94,0,3,Moderate cold
Dehradun,2021,3,20,18.63,33.5,0,2.83,Moderate cold
Dehradun,2021,3,21,18.69,36.69,0.04,2.71,Cloudy
Dehradun,2021,3,22,18.21,44,5.38,2,Cold and Rainy
Dehradun,2021,3,23,17.69,46.81,1.95,2.32,Cold and Rainy
Dehradun,2021,3,24,16.7,42.5,0.02,2.98,Cloudy
Dehradun,2021,3,25,16.37,35.31,0,3.59,Moderate cold
Dehradun,2021,3,26,18.05,33.12,0,2.6,Moderate cold
Dehradun,2021,3,27,19.82,34.88,0,2.93,Moderate cold
Dehradun,2021,3,28,20.36,40.81,0.03,3.16,Cloudy
Dehradun,2021,3,29,20.72,38.12,0.03,2.74,Cloudy
Dehradun,2021,3,30,20.71,28.75,0.07,3.13,Cloudy
Dehradun,2021,3,31,19.31,22.69,0,5.05,Moderate cold
Dehradun,2021,4,1,17.62,17.69,0,5.21,Moderate cold
Dehradun,2021,4,2,17.19,15.56,0,3.56,Moderate cold
Dehradun,2021,4,3,17.33,15.5,0,3.58,Moderate cold
Dehradun,2021,4,4,19.24,19.44,0,3.5,Moderate cold
Dehradun,2021,4,5,20.21,33.38,0.01,3.25,Cloudy
Dehradun,2021,4,6,19.37,41.56,0.88,3.75,Cold and Rainy
Dehradun,2021,4,7,19.92,36.75,3.57,2.84,Cold and Rainy
Dehradun,2021,4,8,19.62,28.69,0,2.97,Moderate cold
Dehradun,2021,4,9,19.33,22.81,0,3.36,Moderate cold
Dehradun,2021,4,10,19.94,21.25,0,3.24,Moderate cold
Dehradun,2021,4,11,21.29,23.06,0,3.56,Clear
Dehradun,2021,4,12,21.3,29.19,0,3.92,Clear
Dehradun,2021,4,13,22.19,27.38,0,4.04,Clear
Dehradun,2021,4,14,23.05,29.19,0,3.74,Clear
Dehradun,2021,4,15,23.5,29.88,0,3.81,Clear
Dehradun,2021,4,16,22.93,29.56,1.22,2.71,Rainy
Dehradun,2021,4,17,18.92,51.25,8.8,3.82,Cold and Rainy
Dehradun,2021,4,18,18.46,46.75,1.26,2.76,Cold and Rainy
Dehradun,2021,4,19,19.6,33.12,0,4.38,Moderate cold
Dehradun,2021,4,20,17.51,37.38,4.18,2.95,Cold and Rainy
Dehradun,2021,4,21,17.56,64.06,15.1,4.3,Heavy rain
Dehradun,2021,4,22,16.62,58.44,6.02,2.47,Cold and Rainy
Dehradun,2021,4,23,14.12,63.62,13.39,3.13,Heavy rain
Dehradun,2021,4,24,18.03,44.25,0.21,2.03,Cloudy
Dehradun,2021,4,25,21.01,29.88,0.05,2.76,Cloudy
Dehradun,2021,4,26,22.55,29.62,0,3.3,Clear
Dehradun,2021,4,27,23.63,34.75,0,3.84,Clear
Dehradun,2021,4,28,24.06,34.81,0,3.5,Clear
Dehradun,2021,4,29,23.48,39.31,0.48,3.38,Cloudy
Dehradun,2021,4,30,23.22,39.38,0.03,3.22,Cloudy
Dehradun,2021,5,1,23.01,40.56,0.38,2.75,Cloudy
Dehradun,2021,5,2,22.43,45.69,5.88,1.98,Rainy
Dehradun,2021,5,3,22.62,45.31,1.16,2.59,Rainy
Dehradun,2021,5,4,22.87,46.56,2.56,2.77,Rainy
Dehradun,2021,5,5,22.35,47.25,0.62,2.41,Rainy
Dehradun,2021,5,6,21.45,53.56,7.97,2.3,Rainy
Dehradun,2021,5,7,21.16,53.06,0.66,2.62,Rainy
Dehradun,2021,5,8,20.74,52,2.01,2.03,Rainy
Dehradun,2021,5,9,21.21,51.38,1.5,3.22,Rainy
Dehradun,2021,5,10,20.87,53.44,0.92,2.33,Rainy
Dehradun,2021,5,11,22.28,47.69,0.18,2.96,Cloudy
Dehradun,2021,5,12,22.76,45.25,2.4,2.54,Rainy
Dehradun,2021,5,13,19.43,61.12,9.9,1.95,Rainy
Dehradun,2021,5,14,20.44,52.94,0,2.7,Clear
Dehradun,2021,5,15,21.87,43.56,0.52,3.07,Cloudy
Dehradun,2021,5,16,23.37,39.38,0,2.91,Clear
Dehradun,2021,5,17,24.52,34.5,0,2.45,Clear
Dehradun,2021,5,18,23.38,41.69,0.22,2.88,Cloudy
Dehradun,2021,5,19,20.14,63.31,26.19,1.8,Heavy rain
Dehradun,2021,5,20,19.52,71.62,27.74,2.09,Heavy rain
Dehradun,2021,5,21,21.25,52.12,0.45,2.7,Cloudy
Dehradun,2021,5,22,22.64,44.25,0.03,2.48,Cloudy
Dehradun,2021,5,23,22.55,47.94,2.36,2.51,Rainy
Dehradun,2021,5,24,22.9,43.31,0.04,3.09,Cloudy
Dehradun,2021,5,25,23.65,33.44,0,3.25,Clear
Dehradun,2021,5,26,24.77,29.62,0,2.73,Clear
Dehradun,2021,5,27,25.73,31.06,0,3.03,Clear
